

=======================================================
TABLA RESUMEN DE RESULTADOS
=======================================================

Query ID   | Precision  | Recall     | AP         | Relevantes | Recuperados  | Coincidencias
39011      | 0.0500      | 1.0000      | 0.1667      | 1          | 20           | 1           
39257      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
39285      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
39288      | 0.0500      | 1.0000      | 0.0500      | 1          | 20           | 1           
39468      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
39509      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
39561      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
39595      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
39646      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
39758      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
39967      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
40172      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
40306      | 0.1000      | 1.0000      | 0.7000      | 2          | 20           | 2           
40493      | 0.0500      | 1.0000      | 0.1667      | 1          | 20           | 1           
40670      | 0.1000      | 0.5000      | 0.1806      | 4          | 20           | 2           
40718      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
40865      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
41031      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
41044      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
41100      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
41301      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
41320      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
41373      | 0.0500      | 1.0000      | 0.2500      | 1          | 20           | 1           
41636      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
41693      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
41807      | 0.1000      | 1.0000      | 0.3667      | 2          | 20           | 2           
41828      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
41856      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
42030      | 0.0000      | 0.0000      | 0.0000      | 5          | 20           | 0           
42044      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
42137      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
42149      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
42164      | 0.0500      | 1.0000      | 0.0909      | 1          | 20           | 1           
42307      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
42379      | 0.0500      | 1.0000      | 0.2500      | 1          | 20           | 1           
42436      | 0.0500      | 1.0000      | 0.0714      | 1          | 20           | 1           
42465      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
42577      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
